Namespace(exp_name='dgcnn_1024_1', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 42, loss: 1.566984, train acc: 0.908286, train avg acc: 0.860074
Test 42, loss: 1.562835, test acc: 0.888979, test avg acc: 0.851483
Train 43, loss: 1.565083, train acc: 0.906759, train avg acc: 0.853506
Test 43, loss: 1.524142, test acc: 0.899109, test avg acc: 0.853047
Train 44, loss: 1.564579, train acc: 0.907064, train avg acc: 0.859711
Test 44, loss: 1.540536, test acc: 0.897083, test avg acc: 0.844134
Train 45, loss: 1.566629, train acc: 0.904418, train avg acc: 0.853818
Test 45, loss: 1.588166, test acc: 0.882901, test avg acc: 0.820349
Train 46, loss: 1.556417, train acc: 0.912154, train avg acc: 0.863026
Test 46, loss: 1.562980, test acc: 0.888979, test avg acc: 0.839727
Train 47, loss: 1.550962, train acc: 0.914292, train avg acc: 0.864647
Test 47, loss: 1.516466, test acc: 0.904376, test avg acc: 0.868547
Train 48, loss: 1.558925, train acc: 0.908998, train avg acc: 0.859932
Test 48, loss: 1.569315, test acc: 0.889789, test avg acc: 0.860023
Train 49, loss: 1.551835, train acc: 0.910322, train avg acc: 0.862306
Test 49, loss: 1.571778, test acc: 0.894652, test avg acc: 0.850721
Train 50, loss: 1.544977, train acc: 0.915717, train avg acc: 0.868520
Test 50, loss: 1.607818, test acc: 0.869125, test avg acc: 0.823913
Train 51, loss: 1.552254, train acc: 0.913274, train avg acc: 0.866664
Test 51, loss: 1.533294, test acc: 0.897893, test avg acc: 0.852291
Train 52, loss: 1.541490, train acc: 0.916735, train avg acc: 0.871953
Test 52, loss: 1.578873, test acc: 0.892220, test avg acc: 0.853448
Train 53, loss: 1.543463, train acc: 0.918261, train avg acc: 0.872768
Test 53, loss: 1.565460, test acc: 0.890600, test avg acc: 0.864500
Train 54, loss: 1.554007, train acc: 0.908795, train avg acc: 0.862416
Test 54, loss: 1.502486, test acc: 0.912885, test avg acc: 0.874564
Train 55, loss: 1.553189, train acc: 0.911136, train avg acc: 0.864426
Test 55, loss: 1.660778, test acc: 0.846029, test avg acc: 0.792151
Train 56, loss: 1.539580, train acc: 0.917651, train avg acc: 0.872206
Test 56, loss: 1.507494, test acc: 0.905186, test avg acc: 0.865756
Train 57, loss: 1.548030, train acc: 0.914292, train avg acc: 0.868503
Test 57, loss: 1.591423, test acc: 0.890194, test avg acc: 0.838366
Train 58, loss: 1.530085, train acc: 0.922333, train avg acc: 0.877703
Test 58, loss: 1.493909, test acc: 0.914506, test avg acc: 0.865680
Train 59, loss: 1.527502, train acc: 0.925387, train avg acc: 0.882488
Test 59, loss: 1.551175, test acc: 0.908428, test avg acc: 0.875942
Train 60, loss: 1.538667, train acc: 0.916327, train avg acc: 0.871106
Test 60, loss: 1.556246, test acc: 0.886548, test avg acc: 0.826430
Train 61, loss: 1.536260, train acc: 0.920603, train avg acc: 0.880151
Test 61, loss: 1.580692, test acc: 0.877229, test avg acc: 0.838988
Train 62, loss: 1.531716, train acc: 0.920399, train avg acc: 0.877446
Test 62, loss: 1.554767, test acc: 0.896677, test avg acc: 0.846581
Train 63, loss: 1.524498, train acc: 0.923860, train avg acc: 0.882702
Test 63, loss: 1.509720, test acc: 0.902350, test avg acc: 0.876087
Train 64, loss: 1.529577, train acc: 0.924878, train avg acc: 0.885613
Test 64, loss: 1.571718, test acc: 0.890194, test avg acc: 0.843419
Train 65, loss: 1.530416, train acc: 0.918872, train avg acc: 0.874553
Test 65, loss: 1.536329, test acc: 0.901135, test avg acc: 0.869459
Train 66, loss: 1.527058, train acc: 0.922333, train avg acc: 0.879605
Test 66, loss: 1.550590, test acc: 0.892626, test avg acc: 0.859523
Train 67, loss: 1.521919, train acc: 0.926507, train avg acc: 0.889151
Test 67, loss: 1.548200, test acc: 0.898298, test avg acc: 0.848006
Train 68, loss: 1.523881, train acc: 0.925081, train avg acc: 0.886143
Test 68, loss: 1.505740, test acc: 0.898298, test avg acc: 0.864930
Train 69, loss: 1.517774, train acc: 0.926099, train avg acc: 0.887804
Test 69, loss: 1.515681, test acc: 0.908833, test avg acc: 0.860378
Train 70, loss: 1.527225, train acc: 0.922740, train avg acc: 0.878172
Test 70, loss: 1.563231, test acc: 0.878849, test avg acc: 0.832605
Train 71, loss: 1.519139, train acc: 0.926914, train avg acc: 0.890261
Test 71, loss: 1.552667, test acc: 0.897488, test avg acc: 0.864122
Train 72, loss: 1.521666, train acc: 0.924064, train avg acc: 0.883327
Test 72, loss: 1.505642, test acc: 0.914100, test avg acc: 0.871884
Train 73, loss: 1.514278, train acc: 0.929357, train avg acc: 0.891663
Test 73, loss: 1.489087, test acc: 0.916937, test avg acc: 0.881285
Train 74, loss: 1.510705, train acc: 0.927626, train avg acc: 0.890277
Test 74, loss: 1.522290, test acc: 0.900324, test avg acc: 0.874180
Train 75, loss: 1.505371, train acc: 0.930782, train avg acc: 0.893316
Test 75, loss: 1.503415, test acc: 0.905592, test avg acc: 0.862599
Train 76, loss: 1.507698, train acc: 0.926608, train avg acc: 0.886529
Test 76, loss: 1.533730, test acc: 0.897083, test avg acc: 0.858599
Train 77, loss: 1.505121, train acc: 0.931494, train avg acc: 0.894757
Test 77, loss: 1.502568, test acc: 0.913290, test avg acc: 0.861372
Train 78, loss: 1.512747, train acc: 0.926507, train avg acc: 0.887636
Test 78, loss: 1.566675, test acc: 0.890600, test avg acc: 0.843238
Train 79, loss: 1.501945, train acc: 0.932003, train avg acc: 0.897183
Test 79, loss: 1.528906, test acc: 0.891410, test avg acc: 0.847215
Train 80, loss: 1.504711, train acc: 0.930273, train avg acc: 0.891883
Test 80, loss: 1.517744, test acc: 0.906402, test avg acc: 0.873767
Train 81, loss: 1.499381, train acc: 0.934752, train avg acc: 0.899783
Test 81, loss: 1.515344, test acc: 0.905997, test avg acc: 0.860983
Train 82, loss: 1.504874, train acc: 0.933021, train avg acc: 0.899251
Test 82, loss: 1.499736, test acc: 0.908833, test avg acc: 0.871203
Train 83, loss: 1.507010, train acc: 0.929866, train avg acc: 0.893287
Test 83, loss: 1.519912, test acc: 0.899109, test avg acc: 0.852023
Train 84, loss: 1.498012, train acc: 0.935261, train avg acc: 0.901177
Test 84, loss: 1.551520, test acc: 0.888979, test avg acc: 0.864453
Train 85, loss: 1.492297, train acc: 0.936177, train avg acc: 0.904222
Test 85, loss: 1.510665, test acc: 0.906807, test avg acc: 0.865372
Train 86, loss: 1.494060, train acc: 0.937093, train avg acc: 0.904108
Test 86, loss: 1.492243, test acc: 0.912885, test avg acc: 0.863378
Train 87, loss: 1.491709, train acc: 0.935668, train avg acc: 0.902172
Test 87, loss: 1.548430, test acc: 0.899919, test avg acc: 0.849297
Train 88, loss: 1.495186, train acc: 0.933123, train avg acc: 0.896492
