Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.219000	11.369000	23.992000	3.462000	12.029000	18.517000	
1.000000	0.099990	2.781000	20.866000	38.375000	2.575000	29.950000	41.329000	
2.000000	0.099977	2.458000	32.334000	51.883000	2.411000	38.448000	50.365000	
3.000000	0.099958	2.273000	40.701000	59.518000	2.176000	51.745000	61.021000	
4.000000	0.099935	2.156000	47.504000	64.739000	2.092000	53.310000	63.938000	
5.000000	0.099906	2.070000	51.467000	67.590000	2.033000	57.062000	66.896000	
6.000000	0.099872	2.006000	56.014000	70.725000	1.865000	64.034000	75.810000	
7.000000	0.099833	1.939000	60.982000	74.175000	1.856000	64.125000	74.919000	
8.000000	0.099789	1.902000	62.728000	75.458000	1.734000	73.858000	82.820000	
9.000000	0.099740	1.870000	65.014000	77.270000	1.717000	72.148000	82.334000	
10.000000	0.099685	1.841000	67.290000	78.573000	1.668000	75.933000	84.643000	
11.000000	0.099625	1.821000	68.488000	79.255000	1.637000	77.174000	86.426000	
12.000000	0.099561	1.802000	69.346000	79.835000	1.735000	72.258000	81.240000	
13.000000	0.099490	1.787000	70.114000	80.578000	1.635000	76.923000	85.697000	
14.000000	0.099415	1.771000	71.383000	81.260000	1.643000	78.676000	84.806000	
15.000000	0.099335	1.764000	72.048000	81.566000	1.618000	79.994000	85.373000	
16.000000	0.099249	1.752000	73.109000	82.329000	1.618000	79.569000	86.021000	
17.000000	0.099159	1.738000	73.786000	82.807000	1.634000	76.109000	83.955000	
18.000000	0.099063	1.737000	73.956000	83.011000	1.608000	81.351000	86.994000	
19.000000	0.098962	1.731000	74.093000	83.042000	1.618000	79.234000	85.616000	
20.000000	0.098856	1.733000	74.111000	82.889000	1.583000	80.927000	87.763000	
21.000000	0.098745	1.713000	75.221000	83.693000	1.629000	78.753000	85.292000	
22.000000	0.098629	1.704000	75.877000	84.222000	1.583000	81.901000	88.047000	
23.000000	0.098508	1.708000	75.258000	83.805000	1.608000	79.948000	86.021000	
24.000000	0.098381	1.698000	76.896000	84.741000	1.605000	80.027000	86.224000	
25.000000	0.098250	1.692000	76.168000	84.212000	1.597000	81.606000	86.345000	
26.000000	0.098114	1.685000	77.056000	84.843000	1.560000	83.181000	88.371000	
27.000000	0.097973	1.681000	77.567000	85.332000	1.598000	81.462000	87.115000	
28.000000	0.097826	1.681000	77.201000	85.098000	1.607000	79.456000	86.305000	
29.000000	0.097675	1.679000	78.109000	85.474000	1.584000	82.818000	88.169000	
30.000000	0.097519	1.666000	78.071000	85.861000	1.574000	81.335000	87.642000	
31.000000	0.097358	1.670000	78.029000	85.535000	1.566000	82.698000	87.844000	
32.000000	0.097192	1.673000	78.880000	86.014000	1.548000	80.524000	88.128000	
33.000000	0.097021	1.660000	78.884000	86.258000	1.552000	81.813000	89.019000	
34.000000	0.096845	1.660000	78.622000	85.912000	1.575000	82.152000	86.831000	
35.000000	0.096664	1.653000	79.909000	86.818000	1.560000	83.564000	88.371000	
36.000000	0.096479	1.653000	79.232000	86.543000	1.567000	83.260000	88.209000	
37.000000	0.096288	1.650000	79.422000	86.594000	1.630000	81.424000	84.481000	
38.000000	0.096093	1.656000	78.803000	86.004000	1.538000	83.815000	88.169000	
39.000000	0.095893	1.648000	79.926000	86.737000	1.566000	81.809000	88.452000	
40.000000	0.095689	1.651000	78.942000	86.441000	1.562000	83.071000	88.169000	
41.000000	0.095479	1.641000	79.724000	86.838000	1.549000	83.520000	89.100000	
42.000000	0.095265	1.648000	79.968000	86.716000	1.593000	79.677000	86.345000	
