Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.330000	9.366000	21.174000	3.196000	13.800000	22.366000	
1.000000	0.099990	2.864000	18.811000	35.368000	2.684000	28.391000	40.316000	
2.000000	0.099977	2.506000	30.027000	48.942000	2.348000	41.941000	53.039000	
3.000000	0.099958	2.307000	38.888000	57.184000	2.190000	46.372000	61.021000	
4.000000	0.099935	2.196000	45.539000	62.118000	1.984000	55.397000	70.705000	
5.000000	0.099906	2.112000	50.568000	65.944000	1.956000	59.385000	72.569000	
6.000000	0.099872	2.049000	54.343000	69.210000	1.945000	60.370000	72.934000	
7.000000	0.099833	1.987000	57.391000	71.195000	1.908000	62.194000	72.285000	
8.000000	0.099789	1.942000	60.383000	73.616000	1.804000	65.799000	76.337000	
9.000000	0.099740	1.916000	62.609000	74.715000	1.770000	73.670000	79.822000	
10.000000	0.099685	1.875000	64.846000	76.689000	1.780000	70.738000	78.363000	
11.000000	0.099625	1.852000	66.341000	78.063000	1.720000	72.339000	81.199000	
12.000000	0.099561	1.827000	68.310000	78.877000	1.679000	75.140000	83.144000	
13.000000	0.099490	1.800000	69.031000	79.701000	1.686000	74.220000	82.253000	
14.000000	0.099415	1.782000	70.810000	81.024000	1.639000	78.031000	84.968000	
15.000000	0.099335	1.773000	70.656000	81.054000	1.662000	76.644000	84.157000	
16.000000	0.099249	1.764000	72.073000	81.309000	1.708000	74.522000	81.848000	
17.000000	0.099159	1.743000	72.814000	82.143000	1.692000	72.749000	82.293000	
18.000000	0.099063	1.735000	73.935000	82.855000	1.600000	80.749000	87.237000	
19.000000	0.098962	1.720000	75.114000	83.588000	1.625000	78.611000	85.697000	
20.000000	0.098856	1.711000	75.407000	83.842000	1.574000	81.585000	88.412000	
21.000000	0.098745	1.700000	75.795000	84.086000	1.602000	82.142000	85.940000	
22.000000	0.098629	1.693000	76.772000	84.656000	1.604000	77.104000	86.588000	
23.000000	0.098508	1.697000	75.854000	84.127000	1.603000	79.590000	86.062000	
24.000000	0.098381	1.686000	77.238000	85.195000	1.583000	81.849000	87.520000	
25.000000	0.098250	1.681000	78.309000	85.745000	1.566000	83.650000	87.682000	
26.000000	0.098114	1.661000	79.141000	86.223000	1.604000	80.269000	86.588000	
27.000000	0.097973	1.665000	78.787000	86.172000	1.574000	80.786000	87.561000	
28.000000	0.097826	1.662000	79.349000	86.396000	1.544000	85.305000	89.830000	
29.000000	0.097675	1.652000	79.748000	86.579000	1.544000	84.632000	89.141000	
30.000000	0.097519	1.646000	79.585000	86.661000	1.583000	83.938000	87.642000	
31.000000	0.097358	1.644000	80.203000	87.312000	1.630000	79.552000	84.724000	
32.000000	0.097192	1.641000	80.349000	86.935000	1.528000	83.489000	89.344000	
33.000000	0.097021	1.637000	80.453000	87.241000	1.556000	84.599000	89.344000	
34.000000	0.096845	1.629000	80.357000	87.271000	1.594000	79.196000	86.305000	
35.000000	0.096664	1.627000	81.694000	87.790000	1.517000	84.298000	90.438000	
36.000000	0.096479	1.622000	81.526000	87.841000	1.572000	83.078000	87.399000	
37.000000	0.096288	1.625000	81.384000	87.841000	1.514000	84.723000	90.397000	
38.000000	0.096093	1.620000	81.828000	87.983000	1.537000	84.692000	89.344000	
39.000000	0.095893	1.615000	81.720000	87.943000	1.567000	83.249000	88.493000	
40.000000	0.095689	1.615000	81.468000	87.800000	1.533000	86.480000	89.141000	
41.000000	0.095479	1.618000	81.618000	87.861000	1.537000	85.531000	90.032000	
42.000000	0.095265	1.611000	82.780000	88.563000	1.523000	86.402000	89.222000	
43.000000	0.095046	1.615000	81.774000	87.932000	1.555000	85.350000	88.047000	
44.000000	0.094823	1.607000	82.644000	88.624000	1.513000	85.659000	90.113000	
45.000000	0.094595	1.597000	83.133000	88.767000	1.522000	85.536000	89.830000	
46.000000	0.094362	1.604000	82.783000	88.502000	1.525000	84.313000	89.830000	
47.000000	0.094125	1.596000	83.328000	88.950000	1.528000	83.069000	88.817000	
48.000000	0.093883	1.597000	82.830000	88.991000	1.529000	85.659000	90.276000	
49.000000	0.093636	1.598000	83.108000	88.757000	1.502000	85.896000	90.194000	
50.000000	0.093385	1.589000	83.188000	89.062000	1.497000	85.073000	90.194000	
51.000000	0.093130	1.596000	83.141000	88.807000	1.553000	83.722000	88.128000	
52.000000	0.092870	1.587000	83.525000	89.387000	1.509000	85.929000	90.073000	
53.000000	0.092606	1.588000	83.841000	89.438000	1.499000	87.581000	91.086000	
54.000000	0.092337	1.584000	83.968000	89.438000	1.507000	86.322000	90.964000	
55.000000	0.092064	1.582000	84.270000	89.571000	1.502000	85.843000	90.276000	
56.000000	0.091786	1.581000	84.286000	89.540000	1.500000	85.787000	90.478000	
57.000000	0.091505	1.585000	83.699000	89.276000	1.542000	82.942000	88.574000	
58.000000	0.091219	1.578000	84.241000	89.489000	1.545000	86.713000	88.493000	
59.000000	0.090928	1.579000	84.119000	89.408000	1.514000	84.347000	89.100000	
60.000000	0.090634	1.579000	83.956000	89.347000	1.528000	83.247000	88.128000	
61.000000	0.090335	1.574000	84.499000	89.733000	1.486000	87.885000	90.883000	
62.000000	0.090032	1.580000	84.284000	89.530000	1.550000	85.605000	88.371000	
63.000000	0.089725	1.573000	84.716000	89.652000	1.499000	86.372000	90.640000	
64.000000	0.089414	1.573000	85.067000	90.110000	1.550000	85.262000	89.384000	
65.000000	0.089099	1.569000	84.492000	89.927000	1.493000	86.095000	90.762000	
66.000000	0.088780	1.568000	85.010000	90.079000	1.491000	87.716000	91.248000	
