Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.250000	11.295000	23.480000	2.878000	23.220000	34.076000	
1.000000	0.099990	2.576000	27.573000	47.857000	2.296000	40.729000	54.417000	
2.000000	0.099977	2.351000	37.012000	56.418000	2.142000	49.073000	62.237000	
3.000000	0.099958	2.240000	42.115000	60.898000	2.079000	51.668000	65.478000	
4.000000	0.099935	2.157000	47.053000	64.408000	1.937000	59.938000	72.690000	
5.000000	0.099906	2.095000	50.993000	67.510000	1.884000	60.157000	74.635000	
6.000000	0.099872	2.048000	53.213000	69.408000	1.917000	61.933000	72.528000	
7.000000	0.099833	2.009000	56.230000	71.418000	1.794000	64.903000	76.864000	
8.000000	0.099789	1.979000	57.439000	72.714000	1.825000	66.181000	76.985000	
9.000000	0.099740	1.943000	60.121000	74.286000	1.735000	71.883000	81.969000	
10.000000	0.099685	1.924000	60.669000	74.643000	1.725000	71.120000	81.726000	
11.000000	0.099625	1.904000	62.748000	76.265000	1.735000	72.520000	81.929000	
12.000000	0.099561	1.879000	64.303000	77.010000	1.676000	73.666000	83.752000	
13.000000	0.099490	1.865000	66.030000	78.224000	1.663000	73.063000	83.630000	
14.000000	0.099415	1.846000	67.047000	78.929000	1.658000	73.803000	84.360000	
15.000000	0.099335	1.839000	66.953000	78.918000	1.641000	77.110000	85.170000	
16.000000	0.099249	1.824000	68.133000	79.602000	1.668000	75.873000	82.982000	
17.000000	0.099159	1.816000	69.037000	80.184000	1.661000	74.777000	83.793000	
18.000000	0.099063	1.812000	68.968000	80.296000	1.613000	76.744000	86.062000	
19.000000	0.098962	1.809000	69.483000	80.673000	1.641000	77.660000	84.765000	
20.000000	0.098856	1.795000	70.557000	81.204000	1.662000	75.001000	83.306000	
21.000000	0.098745	1.784000	71.860000	81.806000	1.616000	78.202000	86.669000	
22.000000	0.098629	1.781000	70.989000	81.673000	1.603000	77.099000	85.981000	
23.000000	0.098508	1.770000	71.718000	82.214000	1.585000	79.669000	87.682000	
24.000000	0.098381	1.762000	72.077000	82.286000	1.596000	78.594000	86.426000	
25.000000	0.098250	1.760000	72.298000	82.367000	1.580000	80.338000	87.318000	
26.000000	0.098114	1.756000	72.496000	82.500000	1.594000	78.882000	86.912000	
27.000000	0.097973	1.752000	73.728000	83.337000	1.579000	81.709000	88.169000	
28.000000	0.097826	1.745000	74.261000	83.592000	1.596000	78.384000	86.102000	
29.000000	0.097675	1.737000	73.519000	83.133000	1.564000	81.014000	88.452000	
30.000000	0.097519	1.732000	74.735000	84.102000	1.558000	81.008000	87.925000	
31.000000	0.097358	1.739000	74.317000	83.653000	1.586000	80.437000	87.196000	
32.000000	0.097192	1.732000	74.209000	83.561000	1.604000	80.855000	85.981000	
33.000000	0.097021	1.726000	74.909000	84.061000	1.558000	83.288000	88.938000	
34.000000	0.096845	1.730000	75.026000	84.102000	1.567000	82.760000	88.371000	
35.000000	0.096664	1.726000	75.572000	84.418000	1.564000	80.489000	87.723000	
36.000000	0.096479	1.703000	76.548000	85.031000	1.550000	83.780000	89.182000	
37.000000	0.096288	1.705000	76.647000	85.031000	1.523000	81.380000	89.708000	
38.000000	0.096093	1.710000	76.225000	84.898000	1.560000	81.051000	88.006000	
