Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.367000	7.958000	17.888000	3.076000	14.324000	23.136000	
1.000000	0.099990	2.806000	19.456000	39.265000	2.912000	23.058000	31.483000	
2.000000	0.099977	2.635000	25.884000	46.367000	2.516000	34.115000	46.110000	
3.000000	0.099958	2.531000	29.252000	50.541000	2.382000	39.120000	52.512000	
4.000000	0.099935	2.460000	31.027000	52.347000	2.236000	44.320000	58.914000	
5.000000	0.099906	2.397000	33.591000	54.857000	2.246000	45.558000	58.185000	
6.000000	0.099872	2.357000	35.394000	56.459000	2.251000	42.763000	57.374000	
7.000000	0.099833	2.294000	38.871000	59.653000	2.143000	48.506000	63.452000	
8.000000	0.099789	2.272000	39.970000	60.612000	2.250000	48.588000	59.603000	
9.000000	0.099740	2.255000	40.504000	61.245000	2.022000	52.540000	68.031000	
10.000000	0.099685	2.221000	41.921000	62.082000	1.950000	55.189000	71.556000	
11.000000	0.099625	2.190000	43.985000	63.898000	1.967000	54.742000	71.475000	
12.000000	0.099561	2.170000	44.887000	64.653000	2.017000	53.435000	68.841000	
13.000000	0.099490	2.161000	45.792000	65.429000	1.920000	58.840000	72.285000	
14.000000	0.099415	2.150000	47.551000	66.255000	1.916000	58.766000	74.392000	
15.000000	0.099335	2.123000	48.206000	66.755000	1.857000	60.808000	76.378000	
16.000000	0.099249	2.132000	47.832000	66.306000	1.926000	57.005000	71.718000	
17.000000	0.099159	2.104000	50.114000	67.959000	1.868000	59.119000	74.514000	
18.000000	0.099063	2.094000	50.255000	68.173000	1.912000	59.838000	74.433000	
19.000000	0.098962	2.083000	51.694000	69.092000	1.843000	60.746000	75.689000	
20.000000	0.098856	2.082000	52.140000	69.306000	1.790000	65.507000	79.376000	
21.000000	0.098745	2.063000	53.048000	69.969000	1.791000	65.543000	80.186000	
22.000000	0.098629	2.049000	53.564000	70.480000	1.759000	66.180000	80.065000	
23.000000	0.098508	2.039000	53.938000	70.633000	1.788000	65.241000	78.525000	
24.000000	0.098381	2.037000	55.012000	71.265000	1.806000	67.154000	78.404000	
25.000000	0.098250	2.018000	56.346000	72.214000	1.727000	69.217000	82.901000	
26.000000	0.098114	2.018000	55.820000	71.561000	1.741000	67.268000	80.875000	
27.000000	0.097973	2.027000	56.455000	72.133000	1.797000	66.181000	78.525000	
28.000000	0.097826	2.012000	56.309000	72.418000	1.745000	68.791000	80.875000	
29.000000	0.097675	2.012000	57.338000	72.796000	1.726000	69.721000	81.605000	
30.000000	0.097519	2.012000	56.961000	72.357000	1.820000	64.491000	77.553000	
31.000000	0.097358	2.003000	57.511000	73.000000	1.740000	72.184000	82.010000	
32.000000	0.097192	1.985000	59.022000	74.112000	1.764000	67.147000	79.133000	
33.000000	0.097021	1.984000	58.852000	74.082000	1.713000	71.183000	83.104000	
34.000000	0.096845	1.975000	58.969000	74.153000	1.698000	70.704000	83.914000	
35.000000	0.096664	1.979000	59.035000	74.112000	1.758000	69.148000	80.389000	
36.000000	0.096479	1.985000	59.055000	73.929000	1.682000	73.178000	84.441000	
37.000000	0.096288	1.961000	60.012000	74.806000	1.684000	73.509000	84.562000	
38.000000	0.096093	1.957000	60.309000	74.837000	1.728000	71.284000	81.767000	
39.000000	0.095893	1.960000	60.930000	74.990000	1.703000	72.487000	83.023000	
40.000000	0.095689	1.965000	60.299000	74.949000	1.687000	73.333000	83.590000	
41.000000	0.095479	1.951000	61.302000	75.480000	1.658000	74.874000	85.373000	
42.000000	0.095265	1.961000	60.579000	74.929000	1.686000	72.650000	83.752000	
43.000000	0.095046	1.938000	61.832000	75.796000	1.681000	71.426000	82.536000	
44.000000	0.094823	1.950000	61.511000	75.673000	1.692000	70.870000	83.225000	
45.000000	0.094595	1.935000	62.239000	76.061000	1.658000	73.571000	85.130000	
46.000000	0.094362	1.926000	62.450000	76.337000	1.669000	73.584000	84.400000	
